,"('DE', 'D/E ratio')","('Current', 'current')","('ROI', 'Mean')","('Revenue', '10Y CAGR')","('Revenue', '5Y CAGR')","('Revenue', '1Y CAGR')","('EPS', '10Y CAGR')","('EPS', '5Y CAGR')","('EPS', '1Y CAGR')","('BVPS', '10Y CAGR')","('BVPS', '5Y CAGR')","('BVPS', '1Y CAGR')","('FCF', '10Y CAGR')","('FCF', '5Y CAGR')","('FCF', '1Y CAGR')",Price
MSFT,True,True,True,0.079727381505755,0.0770326063766659,0.1402953968829285,0.1206333688904048,0.1398270352404456,1.375586854460094,0.1152374384981633,0.1095233472701966,0.1742260619150466,0.0916555989080205,0.0720661129793971,0.1862830212079871,77.45924700591382
AMZN,True,True,True,0.2760395447459118,0.2581345711013716,0.2045412582067698,0.2741737248893283,,0.1425024826216485,0.2774324536208192,0.4414171626731515,0.4443763139453398,0.2435571471156683,0.676662681993456,0.3311855670103092,3651.782703433129
GOOG,True,True,True,0.2120713835142911,0.1965096184871546,0.1830008989979461,0.1701960106547251,0.1903523029488192,0.1249427917620136,,0.1319837282532014,0.1133278996420852,0.1379531627788346,0.207503462806939,0.3565171688857744,805.8073623776061
FB,True,True,True,0.5699940142607858,0.4149294060879471,0.2661091013288441,0.5164255643907742,0.4235202764116248,-0.1505944517833554,,0.2292196014065042,0.2540983606557379,0.6750284150672226,0.3101553189696466,0.3810794973631095,573.8641411625148
JNJ,True,True,True,0.0285979678893835,0.0199790437214104,0.0058592074134908,0.0249568253799932,-0.0024682952750196,0.0035650623885916,0.0162212510925634,-0.0108274569828623,0.1066425666516042,0.0490628782826174,0.03386335594482,0.0666697340572375,
MA,True,True,True,0.1271882704627704,0.1232755984636726,0.1292976588628762,0.2163547290790615,0.2069568995698496,0.4178571428571429,0.0469511521333845,0.0094620924210395,0.1906693711967546,0.1966653067315837,0.1939249213042253,0.3035495716034271,4.080932662462423
NVDA,True,True,True,0.130867905321159,0.2318727893698502,0.206094296891085,,0.5504449889846812,0.3755186721991701,0.167078710827714,0.2378184879530163,0.3288155568650561,,0.3903297034650463,0.0796976983854345,246.09487676937576
PYPL,True,True,True,,0.1723526047616701,0.150216814445667,,0.43515327266866,0.2105263157894736,,0.078799960383413,0.126068376068376,,0.1752308294765749,-0.169204374865966,17.216987139224116
VZ,True,True,True,0.0203492345438254,0.0074259328838626,0.0076797872584306,0.1045679829619083,0.1395346027903701,0.2367021276595746,-0.0602692787605445,0.3512122244703359,0.1028806584362138,0.0206301574486105,0.0578846073012084,0.0071262937616649,
ADBE,True,True,True,0.1425781929405292,0.2191905935603864,0.2370985603543742,0.2344765343577637,0.6247070917972446,0.1538461538461537,0.0942879506781153,0.1220369086846022,0.1553030303030302,0.149687912065046,0.2873222052644177,0.0703212826857095,68.8612989932453
NFLX,True,True,True,0.2828290552386252,0.2963712926333472,0.2761808281625935,0.308817827825756,0.4612067590069342,0.5410447761194028,0.4631966151917777,0.3577019835665285,0.4936143039591316,,1.2602073247620609,0.1001706119960903,1554.416927966986
CSCO,True,True,True,0.0369287499080115,0.0194327111242078,0.0521792012973849,0.0953303483016483,0.1186412959731439,129.5,0.0134588682599521,-0.0528233402077619,0.1329113924050631,0.0532870399374694,0.0576994467062166,0.1592583973314716,
ACN,True,True,True,0.0643120372782279,0.0627640735477736,0.054204376356939,0.1167315828152575,0.1024220112916276,0.1608832807570979,0.1922691745180533,0.2193046399700566,0.1832618025751073,0.0751217328962423,0.1371795891701392,0.1147369394359685,191.32237175789817
QCOM,True,True,True,0.0885874732327529,-0.0173063790829817,0.0735040467029322,0.1421866619690153,-0.0504271275318987,-2.058997050147493,-0.0841929110358914,-0.2358488715544298,0.2517482517482516,0.0028640671494626,-0.0314270690825674,-0.4641812865497076,
COST,True,True,True,0.0789505883806218,0.0627496864257703,0.0785938294626207,0.1283096679104753,0.1217741265362506,0.1650211565585331,0.0533411654074522,0.1135316236200529,0.1957686882933709,0.1474064850622918,0.1102016957659981,0.1971479500891266,36.625596822002365
DHR,True,True,True,0.0546850645729755,0.0683867826429425,0.0505601501554342,0.0887818987478559,0.0221383419545468,0.0828877005347592,0.1025465860227128,0.0957707919195762,0.1566421462570315,0.0739903814378877,0.002170936216399,-0.0336449140733859,47.85605491303727
